timestamp,client_ip,country,city,provider,asn,status,method,path,vpn,proxy,mobile,bot
2026-07-04T04:04:03.603201+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/Elberfelder 1905/5. Mose/6,False,False,True,False
2026-07-04T04:04:03.610173+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/Schlachter 1951/5. Mose/6,False,False,True,False
2026-07-04T04:04:19.898668+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/about.html,False,False,True,False
2026-07-04T04:06:50.653323+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/search.html,False,False,True,False
2026-07-04T04:06:50.746703+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/translations,False,False,True,False
2026-07-04T04:06:50.811624+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/translations,False,False,True,False
2026-07-04T04:06:50.871997+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/Elberfelder 1905/books,False,False,True,False
2026-07-04T04:07:05.210681+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/search?q=f+Denn+also+Gott&page=1&limit=20,False,False,True,False
2026-07-04T04:07:34.370874+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/search.html,False,False,True,False
2026-07-04T04:07:34.475545+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/translations,False,False,True,False
2026-07-04T04:07:34.505599+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,304,GET,/static/favicon.ico,False,False,True,False
2026-07-04T04:07:34.525591+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/translations,False,False,True,False
2026-07-04T04:07:34.585892+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/Elberfelder 1905/books,False,False,True,False
2026-07-04T04:07:42.67422+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/search?q=f+Denn+also+Gott&page=1&limit=20,False,False,True,False
2026-07-04T04:08:00.79097+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/search.html,False,False,True,False
2026-07-04T04:08:00.893676+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/translations,False,False,True,False
2026-07-04T04:08:00.945983+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/translations,False,False,True,False
2026-07-04T04:08:01.024044+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/Elberfelder 1905/books,False,False,True,False
2026-07-04T04:34:34.975461+00:00,94.247.172.129,Sweden,Falkenberg,GleSYS AB,N/A,200,GET,/,True,True,False,False
2026-07-04T05:50:37.888943+00:00,47.128.118.31,Singapore,Singapore,Amazon Technologies Inc,N/A,200,GET,/,False,False,False,False
2026-07-04T05:50:38.660628+00:00,47.128.118.31,Singapore,Singapore,Amazon Technologies Inc,N/A,200,GET,/static/base.css,False,False,False,False
2026-07-04T07:00:15.783268+00:00,47.128.119.102,Singapore,Singapore,Amazon Technologies Inc,N/A,404,GET,/robots.txt,False,False,False,False
2026-07-04T07:02:35.225454+00:00,194.94.18.209,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,200,GET,/,False,False,False,False
2026-07-04T07:02:35.916701+00:00,129.70.27.178,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,200,GET,/,False,False,False,False
2026-07-04T07:02:35.998269+00:00,129.70.27.178,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,200,GET,/static/base.css,False,False,False,False
2026-07-04T07:02:40.212877+00:00,129.70.27.178,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,200,GET,/search.html,False,False,False,False
2026-07-04T07:02:40.382825+00:00,129.70.27.178,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,200,GET,/api/translations,False,False,False,False
2026-07-04T07:02:40.415252+00:00,129.70.27.178,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,200,GET,/api/translations,False,False,False,False
2026-07-04T07:02:40.59092+00:00,129.70.27.178,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,200,GET,/api/Elberfelder 1905/books,False,False,False,False
2026-07-04T07:02:56.417997+00:00,129.70.27.178,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,200,GET,/count.html,False,False,False,False
2026-07-04T07:02:56.510828+00:00,129.70.27.178,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,304,GET,/static/base.css,False,False,False,False
2026-07-04T07:02:56.564822+00:00,129.70.27.178,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,200,GET,/api/translations,False,False,False,False
2026-07-04T07:02:58.622109+00:00,129.70.27.178,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,200,GET,/api/Segond 1910/books,False,False,False,False
2026-07-04T07:02:59.727735+00:00,129.70.27.178,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,200,GET,/api/Segond 1910/1. Mose/chapter-count,False,False,False,False
2026-07-04T07:03:00.737522+00:00,129.70.27.178,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,200,GET,/api/Segond 1910/1. Mose/1/verse-count,False,False,False,False
2026-07-04T07:03:03.20782+00:00,129.70.27.178,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,200,GET,/api/Segond 1910/Offenbarung/chapter-count,False,False,False,False
2026-07-04T07:03:04.104239+00:00,129.70.27.178,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,200,GET,/api/Segond 1910/Offenbarung/18/verse-count,False,False,False,False
2026-07-04T07:03:06.151366+00:00,129.70.27.178,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,200,GET,/api/count?translation=Segond+1910&book_from=1.+Mose&chapter_from=1&verse_from=1&book_to=Offenbarung&chapter_to=18&verse_to=19,False,False,False,False
2026-07-04T07:03:30.214825+00:00,129.70.27.178,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,200,GET,/about.html,False,False,False,False
2026-07-04T07:03:30.254832+00:00,129.70.27.178,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,304,GET,/static/base.css,False,False,False,False
2026-07-04T07:03:40.515367+00:00,194.94.18.209,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,200,GET,/search.html,False,False,False,False
2026-07-04T07:03:40.582802+00:00,194.94.18.209,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,200,GET,/api/translations,False,False,False,False
2026-07-04T07:03:40.615794+00:00,194.94.18.209,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,200,GET,/api/translations,False,False,False,False
2026-07-04T07:03:40.651714+00:00,194.94.18.209,Germany,Bielefeld,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,N/A,200,GET,/api/Elberfelder 1905/books,False,False,False,False
